Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Obesity,TLR4,7099,toll-like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
Obesity,UCP2,7351,uncoupling protein 2,"UCPH, BMIQ4, SLC25A8",11,2516
Retinopathy,IGF1R,3480,insulin-like growth ,"IGFR, CD221, IGFIR, JTK13",15,30997
Retinopathy,IL1B,3553,"interleukin 1, beta","IL-1, IL1F2, IL1-BETA",2,481
Retinopathy,IL6,3569,interleukin 6 (inter,"HGF, HSF, BSF2, IL-6, IFNB2",7,502
Retinopathy,IRS1,3667,insulin receptor sub,HIRS-1,2,4049
Retinopathy,PON1,5444,paraoxonase 1,"ESA, PON, MVCD5",7,68058
Retinopathy,SIRT1,23411,sirtuin 1,SIR2L1,10,56556
Retinopathy,SOCS3,9021,suppressor of cytoki,"CIS3, SSI3, ATOD4, Cish3, SSI-3, SOCS-3",17,2941
Retinopathy,TLR4,7099,toll-like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
Retinopathy,TNF,7124,tumor necrosis facto,"DIF, TNFA, TNFSF2, TNF-alpha",6,496
Retinopathy,UCP2,7351,uncoupling protein 2,"UCPH, BMIQ4, SLC25A8",11,2516
Retinopathy,BDNF,627,brain derived neurotrophic factor,"ANON2, BULN2",11,7245
Stress,AKT1,207,v-akt murine thymoma,"AKT, PKB, RAC, CWS6, PRKBA, PKB-ALPHA, RAC-ALPHA",14,3785
Stress,IAPP,3375,islet amyloid polype,"DAP, IAP",12,36024
Stress,IRS1,3667,insulin receptor sub,HIRS-1,2,4049
Stress,IRS2,8660,insulin receptor sub,IRS-2,13,2778
Stress,PDX1,3651,pancreatic and duode,"GSF, IPF1, IUF1, IDX-1, MODY4, PDX-1, STF-1",13,175
Stress,PPARGC1A,10891,peroxisome prolifera,"LEM6, PGC1, PGC1A, PGC-1v, PPARGC1, PGC-1(alpha)",4,7485
Stress,PRSS8,5652,"protease, serine, 8","CAP1, PROSTASIN",16,20613
Stress,SLC2A4,6517,solute carrier famil,GLUT4,17,74381
Stress,SOCS3,9021,suppressor of cytoki,"CIS3, SSI3, ATOD4, Cish3, SSI-3, SOCS-3",17,2941
Stress,TLR4,7099,toll-like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
Stress,TNF,7124,tumor necrosis facto,"DIF, TNFA, TNFSF2, TNF-alpha",6,496
Stress,UCP2,7351,uncoupling protein 2,"UCPH, BMIQ4, SLC25A8",11,2516
