Complications,Gene,Theme 1,Theme 2,Theme 3,Theme 4,Observation1,Observation2,Observation3,Observation4,PMID1,PMID2,PMID3,PMID4
Cardiovascular,APOH,Diet,,,,"1. Four significant themes emerged: (i) a naive conceptual understanding of carbohydrate and sugar-centric specificity to dietary behaviours; (ii) a narrow focus on BG management to the neglect of overall dietary balance; (iii) positive reception of moderate dietary advice focused on portion control from healthcare professionals (HCPs); and (iv) the impact of external moderators of dietary choices, including the influence of significant others, emotional and opportunistic eating and budgetary constraints.",,,,25623239,,,
Cardiovascular,CD247,Inflammation,,,,1. Our results suggest the use of CD247 as a biomarker in diabetic patients for evaluating the state of chronic Inflammation that contributes to morbidity and mortality in this disease and for the prediction of future cardiovascular events.,,,,25368105,,,
Cardiovascular,CD36,Diet,Inflammation,Obesity,Stress,"1.The fructose diet increased cardiac plasma membrane content of CD36 in the basal and insulin-stimulated states, and decreased its low density microsomes content.","1. Collectively, our findings highlight the importance of CD36 in the accrual and nucleation of NLRP3 ligands from within the macrophage and position CD36 as a central regulator of inflammasome activation in sterile Inflammation.","1. High affinity FA binding to CD36 and the effects of each FA on oxLDL uptake have important implications for protein conformation, binding  of other ligands, functional properties of CD36, and high plasma FA levels in obesity and type 2 diabetes.",1. Underlying mechanisms include CD36 promotion of oxidative stress and its signaling to stress kinases.,22960064,23812099,25555908,21454644
Cardiovascular,CD4,Obesity,,,,"1. In humans, obesity and T2D induce the expansion of proinflammatory T cells such as CD4 Th1, Th17, and CD8 populations, whereas innate T cells such as MAIT and iNKT cells are decreased.?",,,,28779366,,,
Cardiovascular,CD40,Diet,Inflammation,Obesity,Stress,1. Our  study reveals that the CD40-TRAF2/3/5 signaling pathway in MHCII(+) cells protects against AT inflammation and metabolic complications associated with obesity whereas CD40-TRAF6 interactions in MHCII(+) cells aggravate these complications. Inhibition of CD40-TRAF6 signaling by our compound may provide a therapeutic option in obesity-associated insulin resistance.,1. CD40 is required for efficient systemic adaptive immune responses and is implicated in various inflammatory conditions.,1. Blocking CD40-TRAF6 interactions by small-molecule inhibitor 6860766 ameliorates  the complications of diet-induced obesity in mice.,1. Recent studies have suggested that CD40-CD40L interactions regulate oxidative stress and affect various signaling pathways in both the immunological and cardiovascular systems.,24492375,24647739,25394307,18977174
Cardiovascular,CDKAL1,Diet,Obesity,,,"1. The expression of human CETP in db/db mice prevented the formation of diet-induced lesions, suggesting an antiatherogenic effect of CETP in the context of diabetic obesity.","1. After adjusting for multiple covariates,  SNPs in or near CDKAL1, CDKN2BAS, KCNQ1, TCF7L2, CDC123/CAMK1D, HHEX, and TCF2 were associated with the risk for lean T2D, and SNPs in or near KCNQ1 and FTO were associated with the risk for obese T2D.2. Although we found no evidence of widespread non-additive genetic effects contributing to obesity and type 2 diabetes risk, we did find robust examples of recessive effects at the FTO and CDKAL1 loci.",,,12791674,"27281091 , 26961502",,
Cardiovascular,CDKN2A,Stress,,,,"1.  ARF, the alternative protein product of the CDKN2A locus has been recently recognized as a novel sensor of oxidative stress,  in a beta-catenin and Hsp70-mediated manner.",,,,22292438,,,
Cardiovascular,CHI3L1,Diet,Inflammation,Obesity,,"1.  In accordance, WT obese mice revealed decreased endothelium-dependent relaxations to acetylcholine despite of higher eNOS protein level, whereas Arg-II-/- obese mice  were protected from HFD-induced eNOS-uncoupling and endothelial dysfunction, which was associated with reduced p38mapk activation in aortas of the Arg-II-/- obese mice.","1. CHI3L1 (chitinase-3-like protein 1) is a glycoprotein consisting of 383 amino acids with a molecular mass of 40 kDa, and its serum level is elevated in inflammatory diseases.","1. BACKGROUND: The inflammatory biomarker YKL-40 seems to play a role in atherosclerosis and is elevated in patients with obesity, cardiovascular disease  and type 2 diabetes.",,25034973,24512683,23071724,
Cardiovascular,CRK,Diet,Inflammation,Obesity,Stress,"1. ConclusionsTaking together, we demonstrate here for the first time that Arg-II causes eNOS-uncoupling through activation of p38 mapk in HFD-induced obesity.","1. F015  presented a strong inhibition on palmitate-induced production of reactive oxygen  species and associated inflammation, as the activation JNK, ERK1/2 and p38 MAPK were greatly reduced.",1. p38 mitogen-activated protein kinase is involved in arginase-II-mediated eNOS-Uncoupling in Obesity.,1. Together these results identify CRK as a pro-apoptotic protein that signals irremediable ER stress to the mitochondrial execution machinery.,25034973,25445050,25034973,22179045
Cardiovascular,CRP,Diet,,,,"1. Diabetic patients with the highest scores (6-9 points) of adherence to Mediterranean diet had lower circulating CRP level and higher circulating total adiponectin levels than the diabetic patients who scored <3 points on the scale (P=0.001).2. After age, body mass index, lifestyle, and dietary variables were adjusted, 1) total fiber intake was positively associated with adiponectin (P-trend = 0.004); 2) cereal fiber intake was positively associated with adiponectin and inversely associated with CRP, and fruit fiber intake was negatively associated with HbA1c concentrations (all P-trend < 0.03); 3) starch intake was inversely associated with adiponectin (P-trend = 0.02); 4) a higher glycemic index was associated with lower adiponectin and higher HbA1c (both P-trend < 0.05); 5) a higher carbohydrate-to-total fiber intake ratio was associated with lower adiponectin (P-trend = 0.005); 6) a higher starch-to-total  fiber intake ratio was associated with lower adiponectin and higher HbA1c ",,,,"26860514 , 26764316",,,
Cardiovascular,CYP7A1,Inflammation,,,,"1. We find that sustained Inflammation suppresses CYP7A1, leading to accumulation of intermediate metabolites at the branch point of the mevalonate pathway.",,,,26997483,,,
Cardiovascular,DDIT3,Inflammation,Diet,,,"1. Furthermore, pig fed the W diets had increased collagen accumulation in the liver and elevated systemic Inflammation [tumor necrosis factor -alpha and interleukin (IL)-6]. Compared with C pigs, W pigs had higher hepatic ER stress-related protein expression of GRP94, CHOP and caspase-12.","1. Furthermore, pig fed the W diets had increased collagen accumulation in the liver and elevated systemic Inflammation [tumor necrosis factor-alpha and interleukin (IL)-6]. Compared with C pigs, W pigs had higher hepatic ER stress-related protein expression of GRP94, CHOP and caspase-12.",,,26878782,26878782,,
Cardiovascular,DKK1,Inflammation,Obesity,,,1.  The Wnt antagonist dickkopf-1 (DKK1) is secreted by synovial fibroblasts in response to Inflammation and this protein has been proposed to be a master regulator of bone remodelling in inflammatory arthritis.,"1. Thus, differentiated human adipose cells can promote adipogenesis via endogenous BMP4 activation, and the impaired adipogenesis in hypertrophic obesity is mainly due to an inability to suppress canonical WNT and to induce DKK1.",,,23079210,22447857,,
Cardiovascular,DPP4,Obesity,Inflammation,Diet,,"1. Since adipose tissue is relatively hypoxic in obese participants, we  investigated the expression of DPP4 in human preadipocytes (hPA) and adipocytes in hypoxia, during differentiation and upon insulin stimulation.2. In the present study, we demonstrated the therapeutic effects of the novel DPP4 inhibitor, teneligliptin, on the features of postmenopausal obesity in mice.","1. These findings provide a model for the analysis of mechanisms linking fibrosis, Inflammation, and impaired ventricular function to DPP4 inhibition in preclinical studies.2. We have previously shown that DPP4 inhibition in human kidney proximal tubular cells exposed to high glucose reduced fibrotic and inflammatory markers.","1. We conclude that the suppression of hepatic gluconeogenesis by evogliptin is followed by preservation of pancreatic islet, leading to remarkable and persistent glucose-lowering effect in HFD/STZ mice.Our findings provide further insight for the hepatic role in DPP4 inhibitor-mediated glucose control in diabetes.",,"26881257  ,  26264980","26672095 , 26375854",26621343,
Cardiovascular,EGFR,Stress,,,,"1. EGFR tyrosine kinase (EGFRtk) activity and endoplasmic reticulum (ER) stress are enhanced in type 2 diabetic (T2D) mice and cause vascular dysfunction.Inhibition of EGFRtk protects T2D heart against I/R injury through ER stress-dependent mechanism. The cardioprotective effect of EGFRtk and ER stress inhibition involves the activation of survival pathway, and inhibition of apoptosis, and inflammation. Thus, targeting EGFRtk and ER stress has the potential for therapy to overcome myocardial infarction in T2D.",,,,29288332,,,
Cardiovascular,ENG,Inflammation,,,,"1. Endocan, apelin and endoglin are thought to be associated with endothelial dysfunction, angiogenesis and Inflammation.",,,,27010147,,,
Cardiovascular,EPO,Diet,Inflammation,,,"1.  Remarkably, we found that circulating levels of GIP were significantly decreased in FABP5-deficient mice in the fasting state and in response to acute, oral fat diet administration.","1. Using comprehensive in vivo and in vitro analyses in mice, EPO treatment inhibited WAT Inflammation, normalized insulin sensitivity, and reduced glucose intolerance.",,,25268051,24647735,,
Cardiovascular,FABP1,Obesity,,,,"1. Using whole-body knockout mice as well as liver/hepatocyte-specific gain- and loss-of-function strategies, we revealed a role for liver GADD45-beta in the coordination of liver fatty acid uptake, through cytoplasmic retention of FABP1, ultimately impacting obesity-driven hyperglycaemia.",,,,27137487,,,
Cardiovascular,FABP4,Diet,Inflammation,Obesity,,"1.  These findings establish GPR43 as a sensor for excessive dietary energy, thereby controlling body energy utilization while maintaining metabolic homoeostasis.","1. Serum FABP4 related to the obesity, insulin resistance and Inflammation while RBP4 related to lipids.","1. Elevation of circulating FABP4 levels is associated with obesity, insulin resistance, diabetes mellitus, hypertension, cardiac dysfunction, atherosclerosis, and cardiovascular events.",,23652017,23480783,25674026,
Cardiovascular,FABP5,Diet,Inflammation,Obesity,,1.  Plasma FGF21 levels were significantly increased in all HFD fed monkeys compared with the CTR group.,"1. In conclusion, this study  provides evidence for an additive relation of FABP4 and FABP5 with the metabolic  syndrome, inflammatory cardiovascular disease risk factors, and coronary atherosclerosis in type 2 diabetes mellitus.","1. Genes significantly associated with obesity included nine genes: plasminogen activator inhibitor 1, PPARgamma, PPARdelta, MCP-1, CCL3 (macrophage inflammatory protein [MIP]-1 alpha), PPAR gamma 2, carnitine palmitoyltransferase (CPT1A), FABP4, and FABP5.",,23736354,20920650,17704301,
Cardiovascular,FFAR2,Inflammation,Obesity,,,"1. Furthermore, the biological functions of SCFAs in anti-Inflammation and energy metabolism are linked with the activation of FFAR2 and FFAR3.","1. Hence, GPR43 is also thought to be a potential drug target for metabolic disorders, such as obesity and diabetes.",,,25732031,24926285,,
Cardiovascular,FGF19,Obesity,Diet,,,"1. Circulating serum FGF19 concentrations were decreased (P<0.01) similarly in obese patients regardless of their degree of insulin resistance, while FGF21 levels were increased in obesity (P<0.01), being further increased  in obesity-associated T2D (P<0.01).",1. Our aim was to analyze the impact of weight loss (WL) induced either by conventional dietary treatment (CDT) or bariatric surgery on FGF19 and FGF21 concentrations.,,,27188262,27188262,,
Cardiovascular,FGF21,Inflammation,Diet,,,"1. The pathological transformation of steatohepatities as well as parameters of Inflammation, lipid metabolism, cellular events, mesenchymal-epithelial transition (MET) and Wnt/beta-catenin signaling was determined in the FGF21 KO diabetic mice and HFD fed  mice.2. Numerous animal studies have  demonstrated that FGF21 improves glucose and lipids metabolism and exerts anti-inflammatory effects.","1. Moreover, FGF21 improves methionine- and choline-deficient diet-induced steatohepatitis. FGF21 acts as an inhibitor of mTORC1 to control hepatic insulin action and maintain glucose homeostasis, and mTORC1 inhibition by FGF21 has the therapeutic potential for treating IR and type 2 diabetes.2. We investigated whether the levels and signalings of FGF21 changed in the skeletal muscle of type 2 diabetes mellitus (T2DM) patients, participants with impaired glucose tolerance (IGT), human skeletal muscle myotubes (HSMMs) under insulin-resistant conditions, and mice with diet-induced obesity (DIO).",,,"27293995 , 27305706","26926384 , 26758997",,
Cardiovascular,FTO,Diet,Inflammation,Obesity,Stress,1.CONCLUSIONS: These novel results suggest that the association of the FTO-rs9939609 and the MC4R-rs17782313 polymorphisms with type 2 diabetes depends  on diet and that a high adherence to the MedDiet counteracts the genetic predisposition.  PMCID: PMC3495759,1. Studies in mammals demonstrate that FTO is also associated with inflammation markers.,1. The fat mass and obesity-associated gene (FTO) rs9939609 and peroxisome proliferator-activated receptor gamma 2 gene (PPARG2) rs1801282 polymorphisms are type 2 diabetes mellitus susceptibility gene variants associated with obesity.,"1. CONCLUSIONS: This study demonstrates that increased FTO levels in the liver are involved in oxidative stress and lipid deposition, which characterize NAFLD.",23130628,24345215,24969838,23329013
Cardiovascular,G6PD,Diet,Inflammation,Obesity,Stress,"1.  In conclusion, dietary Se deficiency precluded the overproduction of GPX1 in full-fed OE mice and partially rescued their metabolic syndromes.","1. Thus, we propose that a high level of G6PD in adipocytes may mediate the onset of metabolic disorders in obesity by increasing the oxidative stress and inflammatory signals.","1. Conversely, G6PD expression and activity are upregulated in rat and mouse models of obesity, hyperglycemia and hyperinsulinemia, and a role for G6PD in the development of insulin resistance in type 2 diabetes has been proposed.",1. Deficiency of G6PD activity is associated with increased endothelial cell oxidative stress.,23014491,17065329,20711518,23258327
Cardiovascular,GCG,Stress,,,,"1. The incretin hormone GLP-1 reduces ?-cell failure in patients with type 2 diabetes.SAD-A silencing increased ER stress and inhibited the autophagic flux, which contributed to ?-cell apoptosis. Thus, SAD-A appears to function as a downstream molecule of GLP-1 signaling that results in Bad S155 phosphorylation. This phosphorylation might therefore be involved in the GLP-1-linked protection against ?-cell dysfunction and apoptosis.",,,,30573363,,,
Cardiovascular,GCKR,Diet,,,,"1. A cohort of 2095 Chinese adolescents (mean age 15.6+/-2.0 years, 45.3% male) recruited from a population-based school survey for cardiovascular risk factor assessment, with dietary data including weekly vegetable and fish consumptions as well as clinical data were genotyped for the GCKR rs780094 polymorphism.",,,,26234566,,,
Cardiovascular,GGT1,Diet,Inflammation,Obesity,Stress,"1.After adjustment for nondietary factors and other food groups, GGT was positively associated with alcohol consumption and meat intake. 2. Among possible meat constituents, dietary heme iron, but not saturated fat, was associated with GGT.","1. CONCLUSION: GGT, an easy, universally standardized and available measurement, could represent an early marker of sub-clinical inflammation and oxidative stress in otherwise healthy individuals.",1. This finding  has an important clinical implication because serum GGT can be used to detect high-risk obese persons.,"1. Serum gamma-glutamyltransferase (GGT), a  marker of oxidative stress, is a strong predictor of the risk of type 2 diabetes  mellitus.",15051603,16437656,25015117,23092212
Cardiovascular,GIP,Obesity,Diet,,,1. Combining the body weight-lowering and glucose-lowering effects of GLP-1 with a more potent improvement of beta cell function through additional GIP action could potentially offer a more effective treatment of diabetes and obesity with fewer adverse effects than selective GLP-1R agonists.,1. A role in lipid metabolism is supported by numerous indirect observations and by resistance to diet-induced obesity after deletion of the GIP receptor.,,,27160961,27186349,,
Cardiovascular,GLP1R,Obesity,,,,"1. GLP-1R agonists and coagonists are being developed for the treatment of type 2 diabetes mellitus, obesity",,,,28847797,,,
Cardiovascular,GLP1R,Inflammation,Stress,,,"1. Glucagon like peptide-1 (GLP-1) stimulates glucose-dependent insulin secretion.GLP-1R activation by ex-4 resulted in reduction of COX-2 through increasing IB1 expression, resulting in anti-inflammatory neuroprotection during stroke.The anti-inflammatory action of GLP-1 could be used as a new strategy for the treatment of neuroinflammation after stroke accompanied by hyperglycemia.","1. Abelmoschus esculentus (AE) has benefits to regulate DPP-4 and GLP-1R, to reduce oxidative stress and renal fibrosis, with resultant to improve renal function and prevent diabetic renal damage. Taken together, F2 could be more promising to be developed as adjuvant for diabetic nephropathy. 2. The expressions of GLP-1R and CB-1R mRNA increased approximately 1.89- and 2.94-fold, respectively, in the diabetes+sitagliptin group as compared to the diabetic group. Sitagliptin treatment regulates GLP-1R and CB-1R gene expressions, which are associated with appetite regulation in diabetic rat, and may decrease oxidative stress and liver tissue damage.",,,28912645,"30648566, 28599244",,
Cardiovascular,GLUL,Stress,,,,"1. rs10911021 (a single nucleotide polymorphism present upstream of the GLUL gene) affects glutamic acid metabolism, and was shown to be associated with coronary heart disease (CHD) in patients with T2DM but a definite mechanism is unknown.The SNP rs10911021 was associated with coronary heart disease (CHD) only in patients having diabetes, but the SNP was associated with total oxidative stress biomarkers malondialdeheyde (MDA) and GSH and GSSG levels. As the SNP rs10911021 showed significant association with oxidative stress parameters and these parameters should an increased oxidative stress in the CHD subjects, it can be concluded that the SNP may have contributed to increase the risk of heart diseases in the diabetic subjects by increasing the oxidative stress.",,,,29304826,,,
Cardiovascular,GPX1,Stress,,,,"1. Hyperglycemia induces activation of glutathione peroxidase 1 (GPX1), an anti-oxidant enzyme essential for cell survival during oxidative stress.",,,,19944066,,,
Cardiovascular,GRK2,Stress,,,,"1. G protein-coupled receptor kinase 2 (GRK2) overexpression contributes to diabetic endothelial dysfunction and oxidative stress, which also underlies ED in T2DM.GRK2 upregulation may be an important mechanism underlying T2DM ED, and GRK2 inhibition may be a potential therapeutic strategy for T2DM ED.",,,,30226217,,,
Cardiovascular,GSTT1,Inflammation,Stress,,,1.  The common variant in the GSTM1 and GSTT1 genes is related to markers of oxidative stress and Inflammation in patients with coronary artery disease: a case-only study.,1. Interpretations and  GSTM1 and GSTT1 deletions singly or together were associated with lower GST levels and higher oxidative stress in both diabetic and nondiabetic CKD.,,,19823950,20954980,,
Cardiovascular,HHEX,Obesity,,,,"1.  In addition, we demonstrated associations of CXCR4 and HHEX with overweight/obesity (OR=1.6, p=0.003) and (OR=1.4, p=0.002), respectively, in 1333 sib-pairs (2666 individuals).",,,,23349771,,,
Cardiovascular,HMGB1,Inflammation,,,,"1. Furthermore, in vitro  data support the hypothesis that BMSCs-induced reduction of HMGB1 and RAGE in T2DM-MCAo rats contributed to attenuated inflammatory response in the ischemic brain, which may lead to the beneficial effects of BMSCs treatment.",,,,26946264,,,
Cardiovascular,HP,Obesity,,,,1. We report an association of IL-1RN and HP polymorphism with T2DM risk independent of each other and of obesity status but no association with related complications and hypertension.  PMCID: PMC4812649,,,,27030821,,,
Cardiovascular,IGF1,Diet,Inflammation,Obesity,Stress,"1. Irrespective of postnatal diet, prenatal undernutrition was found to be associated with unexpected endocrine responses of leptin, IGF1 and cortisol during fasting (lack of or the opposite response compared with the controls) in 2-year-old adults.","1. The ROS suppressors EUK-134 and alpha-lipoic acid, or small interfering RNA (siRNA)-mediated  silencing of JNK expression, restored IGF1 sensitivity both in vitro and in vivo, and also ameliorated the impairment in IGF1-mediated wound responses during diabetes, Inflammation and hypercortisolemia.","1. Insulin and IGF1 are known to enhance IL-17-induced expression of inflammatory cytokines and chemokines, which may contribute to the chronic inflammatory status observed in obese people.",1.  These data indicate that the increased levels of IGF-I are associated with enhanced oxidative stress in rats and humans.,24096964,22362362,25520943,22370764
Cardiovascular,IL18,Diet,Inflammation,Obesity,Stress,1.  This has in particular been spurred by  the finding that PTP1B knockout mice show increased insulin sensitivity and resistance to diet-induced obesity.,"1. We show that IL-18 is implicated in metabolic homeostasis, Inflammation and insulin resistance via mechanisms involving the activation of AMPK in skeletal muscle.","1. Therefore, variation within IL18, previously shown to be associated with lower IL18 levels, is influencing measures of obesity both in men with type 2 diabetes mellitus and those with advanced coronary heart disease.","1. Elevated IL-18 has been detected in several risk conditions for AD, including obesity, type-II diabetes, and cardiovascular diseases as well as in stress.",11907034,23670974,17445542,22898493
Cardiovascular,IL1B,Inflammation,,,,"1.The expression of inflammatory genes was significantly reduced after 8 weeks of the BEM training (0.3-, 0.5-, and 0.2-fold change for NFKB2, RELA, and IL1B, respectively, all P < .05). In the item analysis of mental/physical health self-reports, a significant improvement was confirmed as follows: increases in focus, confidence, relaxation, and happiness; decreases in fatigue, anger, and loneliness (all P < .05). There were no important adverse events or side-effects by BEM intervention.",,,,31083232,,,
Cardiovascular,INS,Inflammation,,,,"1. While insulin plays a protective, antiinflammatory role in  the synovium, insulin resistance in patients with type 2 DM may impair this protective effect and promote the progression of OA.",,,,26713606,,,
Cardiovascular,JAZF1,Obesity,,,,1.   JAZF1 plays an important role in lipid metabolism and may thus provide  a potential tool for the treatment of obesity and lipid metabolism disorders among other diseases.,,,,24930994,,,
Cardiovascular,JAZF1,Inflammation,,,,"1.Juxtaposed with another zinc finger gene 1 (JAZF1) has been identified as a novel transcriptional cofactor, with function of regulating glucose and lipid homeostasis and inflammation.",,,,30838734,,,
Cardiovascular,LDLR,Diet,,,,"1. In conclusion, because various genes, LDLR, CETP, APOA5, Apo E, Apo B, and Apo A-I, are associated with the precipitation of  CAD associated with T2DM, a personalized diet-gene intervention therapy may be advocated to reduce the disease precipitation.",,,,25470794,,,
Cardiovascular,LEP,Stress,,,,"1. Adipose tissue dysfunction with high leptin, inflammation, and increased oxidative stress may play a pivotal role in T2DM development in obese patients.Roux-Y gastric bypass (RYGB) improves adipose tissue function and inflammation. Leptin as marker for adipose tissue dysfunction may be the mediating factor between insulin resistance and oxidative stress and thereby likely improving T2DM.",,,,28691147,,,
Cardiovascular,MAP3K5,Inflammation,,,,1. Chronic inflammation in adipose tissue is a cause of insulin resistance and T2D. miR-17 directly prevent expression of ASK1 by binding to its 3'UTR.miR-17 improved inflammation-induced insulin resistance by suppressing ASK1 expression in macrophages,,,,29477089,,,
Cardiovascular,MBL2,Diet,Inflammation,Obesity,,1.  Suppression of retinol-binding protein 4 with RNA oligonucleotide prevents high-fat diet-induced metabolic syndrome and non-alcoholic fatty liver disease in mice.,"1. These findings suggest that MBL, previously thought only to be involved in Inflammation and immune system function, affects metabolic pathways.",1. At least one MBL2 gene mutation was present in 48.2% of obese vs 39.3% of non-obese subjects (p=0.037).,,21983273,16955210,16955210,
Cardiovascular,MBL3P,Diet,Inflammation,Obesity,,1. Individuals with the TCF7L2 rs12255372 risk genotype may reduce body adiposity by consuming a diet lower in total fat.,1. Mannan-binding lectin (MBL) is a plasma protein that plays an important role in innate immunity through activation of the complement cascade and Inflammation following binding to carbohydrate structures.,1. We propose a novel role for MBL in the recognition and clearance of apoptotic adipocytes during obesity.,,23034957,12621364,25008177,
Cardiovascular,MC4R,Obesity,Diet,,,1.  The interaction between MC4R genes with dietary factors plays a significant role in the development of obesity or Type 2 diabetes phenotypes.,1. The interaction between MC4R genes with dietary factors plays a significant role in the development of obesity or Type 2 diabetes phenotypes.,,,26666384,26666384,,
Cardiovascular,NAMPT,Inflammation,Obesity,Stress,,1. Extracellular PBEF/NAMPT/visfatin activates pro-inflammatory signalling in human  vascular smooth muscle cells through nicotinamide phosphoribosyltransferase activity.,1. The miR-34a/NAMPT axis presents a potential target for treating obesity- and aging-related diseases involving SIRT1 dysfunction like steatosis and type 2 diabetes.,"1. NAMPT is known to participate in biological responses such as glucose metabolism, inflammatory response and stress.",,19727662,23834033,22190532,
Cardiovascular,NLRP3,Inflammation,,,,"1. Here, we investigated the effects of gamma-T3 on NLRP3 inflammasome activation and attendant consequences on type 2 diabetes. Gamma-T3 repressed inflammasome activation, caspase-1 cleavage, and interleukin (IL) 1-beta secretion in murine macrophages, implicating the inhibition of NLRP3 inflammasome in the anti-inflammatory and antipyroptotic properties of gamma-T3.2. The overactivation of NLRP3 is implicated in the pathogenesis of autoinflammatory diseases, known as cryopyrin-associated periodic syndromes (CAPS), and in the progression of several diseases, such as atherosclerosis, type-2 diabetes, gout, and Alzheimer's disease.",,,,"26628639 , 26990578",,,
Cardiovascular,NOS3,Diet,Inflammation,Obesity,Stress,1.  EPO treatment significantly reduced the body weights and the levels of fasting blood glucose and serum insulin and improved the HFD-induced glucose intolerance in mice.,"1. This was found to result from increased cell Ca2+ and several molecules sensitive to Ca2+ with known anti inflammatory actions in endothelial cells, including CaMKK  beta, CaMKI, AMPK, eNOS and CREB.",1. These results suggest that interaction between obesity and NOS3 genotype may be a determinant of diabetes case status in whites in the ARIC cohort.,"1. Reduced arginine availability stemming from reduced de novo production and elevated arginase activity have been reported in various conditions of acute  and chronic stress, which are often characterized by increased NOS2 and reduced NOS3 activity.",23326455,24835252,24278136,23011059
